lat frac
5.900 0.7175
5.900 0.7200
5.900 0.7225
5.900 0.7250
5.900 0.7275
5.900 0.7300
5.900 0.7325
5.900 0.7350
5.900 0.7375
5.900 0.7400
5.900 0.7425
5.900 0.7450
5.900 0.7475
5.900 0.7500
5.900 0.7525
5.900 0.7550
5.900 0.7575
5.900 0.7600
5.900 0.7625
5.900 0.7650
5.900 0.7675
5.900 0.7700
5.900 0.7725
5.900 0.7750
5.900 0.7775
5.900 0.7800
5.900 0.7825
5.900 0.7850
6.000 0.7875
6.000 0.7900
6.000 0.7925
6.000 0.7950
6.000 0.7975
6.000 0.8000
6.000 0.8025
6.000 0.8050
6.000 0.8075
6.000 0.8100
6.000 0.8125
6.000 0.8150
6.000 0.8175
6.000 0.8200
6.000 0.8225
6.000 0.8250
6.000 0.8275
6.000 0.8300
6.000 0.8325
6.000 0.8350
6.000 0.8375
6.000 0.8400
6.000 0.8425
6.000 0.8450
6.000 0.8475
6.000 0.8500
6.100 0.8525
6.100 0.8550
6.100 0.8575
6.100 0.8600
6.100 0.8625
6.100 0.8650
6.100 0.8675
6.100 0.8700
6.100 0.8725
6.100 0.8750
6.100 0.8775
6.100 0.8800
6.100 0.8825
6.100 0.8850
6.200 0.8875
6.200 0.8900
6.200 0.8925
6.200 0.8950
6.200 0.8975
6.300 0.9000
6.300 0.9025
6.400 0.9050
6.500 0.9075
6.600 0.9100
6.700 0.9125
7.100 0.9150
7.900 0.9175
8.500 0.9200
8.800 0.9225
8.900 0.9250
9.000 0.9275
9.100 0.9300
9.100 0.9325
9.200 0.9350
9.200 0.9375
9.300 0.9400
9.300 0.9425
9.400 0.9450
9.500 0.9475
9.500 0.9500
9.600 0.9525
9.700 0.9550
9.700 0.9575
9.800 0.9600
9.900 0.9625
9.900 0.9650
10.000 0.9675
10.000 0.9700
10.100 0.9725
10.100 0.9750
10.200 0.9775
10.500 0.9800
11.300 0.9825
12.500 0.9850
18.500 0.9875
19.600 0.9900
20.000 0.9925
24.600 0.9950
25.000 0.9975
25.000 1.0000
